puma_code,puma_area_name
06 08503,Santa Clara County (Northwest)--San Jose (Northwest) & Santa Clara Cities PUMA
06 08504,Santa Clara County (North Central)--Milpitas & San Jose (Northeast) Cities PUMA
06 08505,Santa Clara County (North Central)--San Jose City (East Central) & Alum Rock PUMA
06 08506,"Santa Clara County (East)--Gilroy, Morgan Hill & San Jose (South) Cities PUMA"
06 08507,"Santa Clara County (Southwest)--Cupertino, Saratoga Cities & Los Gatos Town PUMA"
06 08508,Santa Clara County (Central)--San Jose (West Central) & Campbell Cities PUMA
06 08509,Santa Clara County (Central)--San Jose City (Northwest) PUMA
06 08510,Santa Clara County (Central)--San Jose City (Central) PUMA
06 08511,Santa Clara County (Central)--San Jose City (South Central/Branham) & Cambrian Park PUMA
06 08512,Santa Clara County (Central)--San Jose City (Southwest/Almaden Valley) PUMA
06 08513,Santa Clara County (Central)--San Jose City (Southeast/Evergreen) PUMA
06 08514,Santa Clara County (Central)--San Jose City (East Central/East Valley) PUMA
06 08701,Santa Cruz County (North)--Watsonville & Scotts Valley Cities PUMA
06 08702,Santa Cruz County (South & Coastal)--Santa Cruz City PUMA
06 08900,Shasta County--Redding City PUMA
06 09501,Solano County (Southwest)--Vallejo & Benicia Cities PUMA
06 09502,Solano County (Central)--Fairfield & Suisun City Cities PUMA
06 09503,Solano County (Northeast)--Vacaville & Dixon Cities PUMA
06 09701,"Sonoma County (North)--Windsor Town, Healdsburg & Sonoma Cities PUMA"
06 09702,"Sonoma County (South)--Petaluma, Rohnert Park & Cotati Cities PUMA"
06 09703,Sonoma County (Central)--Santa Rosa City PUMA
06 09901,"Stanislaus County (Southwest)--Ceres, Patterson & Newman Cities PUMA"
06 09902,Stanislaus County (Central)--Modesto City (West) PUMA
06 09903,"Stanislaus County (Northeast)--Turlock, Riverbank, Oakdale & Waterford Cities PUMA"
06 09904,Stanislaus County (Central)--Modesto City (East) PUMA
06 10100,Sutter & Yuba Counties--Yuba City PUMA
06 10701,Tulare County (Northwest)--Visalia City PUMA
06 10702,Tulare County (West Central)--Tulare & Porterville Cities PUMA
06 10703,"Tulare County (Outside Visalia, Tulare & Porterville Cities) PUMA"
06 11101,Ventura County (Southeast)--Simi Valley City PUMA
06 11102,Ventura County (Southeast)--Thousand Oaks City PUMA
06 11103,Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA
06 11104,Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA
06 11105,"Ventura County (North)--Santa Paula, Fillmore & Ojai Cities PUMA"
06 11106,Ventura County (South Central)--Camarillo & Moorpark Cities PUMA
06 11300,"Yolo County--Davis, Woodland & West Sacramento Cities PUMA"
